jahr,stadtteil,einwohner,durchschnittsalter,kinder,erwachsene,aeltere,geburten,sterbefaelle,zuzuege,wegzuege
2022,00 - Lübeck,222077,45.218280232433266,33661,137234,51182,1750,3112,13488,10076
2022,01 - Innenstadt,14228,41.59781830925707,1462,10522,2244,111,158,2467,2245
2022,02 - St. Jürgen,45959,44.20598156725158,7283,28709,9967,386,469,4188,3861
2022,03 - Moisling,11115,43.587141404617974,2183,6575,2357,102,154,1034,715
2022,04 - Buntekuh,11437,42.7211839487556,2360,6606,2471,115,130,1037,767
2022,05 - St. Lorenz Süd,15699,43.543125074714645,1985,10619,3095,135,206,1828,1753
2022,06 - St. Lorenz Nord,43801,43.36897862781015,6877,28372,8552,375,553,4347,3621
2022,07 - St. Gertrud,41986,46.82043929842237,6278,25017,10691,304,709,3671,2801
2022,08 - Schlutup,5782,46.48084418815123,941,3433,1408,45,111,398,326
2022,09 - Kücknitz,18559,45.7338530137503,3118,11145,4296,126,271,1129,963
2022,10 - Travemünde,13511,57.644316401754836,1174,6236,6101,51,351,1319,960
2021,00 - Lübeck,220056,45.18432137572952,33229,136010,50817,1821,2919,11065,9524
2021,01 - Innenstadt,14053,41.49790099905543,1432,10412,2209,120,129,2135,2046
2021,02 - St. Jürgen,45752,44.04140769652708,7242,28652,9858,383,453,3848,3459
2021,03 - Moisling,10852,43.76853354472883,2043,6503,2306,87,153,727,711
2021,04 - Buntekuh,11177,43.03168713637717,2291,6402,2484,96,139,825,732
2021,05 - St. Lorenz Süd,15692,43.265927494683616,1965,10728,2999,156,214,1635,1654
2021,06 - St. Lorenz Nord,43263,43.361948312946716,6771,27979,8513,366,505,3436,3281
2021,07 - St. Gertrud,41526,46.85281959016929,6193,24737,10596,343,669,3216,2736
2021,08 - Schlutup,5771,46.35703695615536,949,3407,1415,45,103,374,356
2021,09 - Kücknitz,18528,45.5815855158871,3147,11081,4300,168,250,1001,943
2021,10 - Travemünde,13442,57.76060680793994,1196,6109,6137,57,304,969,737
2020,00 - Lübeck,219645,45.16075216650275,33129,135743,50773,1820,2805,10608,10216
2020,01 - Innenstadt,14007,41.31560841920319,1434,10385,2188,124,128,2076,2051
2020,02 - St. Jürgen,45335,44.02794007330529,7174,28370,9791,414,405,3580,3688
2020,03 - Moisling,10905,43.802577833406595,2028,6580,2297,103,143,762,719
2020,04 - Buntekuh,11137,43.175277233509206,2264,6346,2527,102,130,722,783
2020,05 - St. Lorenz Süd,15800,43.02525103827032,2036,10805,2959,158,201,1938,1900
2020,06 - St. Lorenz Nord,43256,43.26240791993722,6821,27957,8478,372,503,3476,3468
2020,07 - St. Gertrud,41364,46.945110861946134,6120,24657,10587,305,631,3064,3004
2020,08 - Schlutup,5820,46.56229521830271,958,3397,1465,41,84,434,433
2020,09 - Kücknitz,18558,45.558834532080546,3095,11155,4308,151,275,1017,999
2020,10 - Travemünde,13463,57.687007868799306,1199,6091,6173,47,307,1067,760
2019,00 - Lübeck,220238,44.96112188463782,33314,136381,50543,1915,2927,11377,10660
2019,01 - Innenstadt,13984,41.01359732414987,1450,10404,2130,130,146,2094,2156
2019,02 - St. Jürgen,45417,43.82066790864141,7191,28491,9735,405,466,3797,3771
2019,03 - Moisling,10897,43.71686364650132,2003,6605,2289,117,152,823,832
2019,04 - Buntekuh,11216,43.0470148899709,2269,6394,2553,119,145,903,766
2019,05 - St. Lorenz Süd,15779,42.73448458475784,2045,10832,2902,164,182,1954,1766
2019,06 - St. Lorenz Nord,43367,43.13215871775331,6908,27972,8487,398,524,3695,3793
2019,07 - St. Gertrud,41660,46.775924780527205,6180,24903,10577,329,636,3245,2962
2019,08 - Schlutup,5876,46.069042579759625,978,3439,1459,48,99,417,390
2019,09 - Kücknitz,18649,45.40800783990844,3075,11290,4284,166,256,1120,1052
2019,10 - Travemünde,13393,57.35770491613246,1215,6051,6127,39,321,983,838
2018,00 - Lübeck,220629,44.879813971473965,33328,136864,50437,1966,2877,12459,10184
2018,01 - Innenstadt,14070,40.82711647243236,1474,10479,2117,118,132,2340,2185
2018,02 - St. Jürgen,45501,43.59803298015729,7224,28585,9692,425,465,4443,4280
2018,03 - Moisling,10942,43.87677893150184,1997,6636,2309,137,142,987,883
2018,04 - Buntekuh,11118,43.254531341253355,2205,6355,2558,99,139,950,919
2018,05 - St. Lorenz Süd,15618,42.616634827745294,2019,10798,2801,173,182,2158,1862
2018,06 - St. Lorenz Nord,43576,43.110414366586106,6946,28086,8544,394,504,4203,3795
2018,07 - St. Gertrud,41704,46.738380668455314,6203,24909,10592,360,654,3637,2999
2018,08 - Schlutup,5891,45.847105987075714,976,3467,1448,38,117,562,467
2018,09 - Kücknitz,18675,45.381815554455265,3041,11380,4254,174,246,1164,1097
2018,10 - Travemünde,13534,57.016336734879786,1243,6169,6122,48,296,1096,783
2017,00 - Lübeck,219255,44.846382622598384,33473,135599,50183,1984,2758,10383,10322
2017,01 - Innenstadt,13924,40.769392553706425,1488,10361,2075,132,118,2029,2150
2017,02 - St. Jürgen,45413,43.61876163032189,7327,28361,9725,417,408,3548,3805
2017,03 - Moisling,10832,43.89222167701989,1969,6563,2300,117,136,824,705
2017,04 - Buntekuh,11125,43.24592297983685,2222,6318,2585,140,125,760,725
2017,05 - St. Lorenz Süd,15324,42.17153967453685,2029,10701,2594,162,114,1749,1705
2017,06 - St. Lorenz Nord,43253,43.16873723859205,6968,27712,8573,432,514,3675,3741
2017,07 - St. Gertrud,41385,46.80395742617353,6144,24651,10590,328,666,3002,2965
2017,08 - Schlutup,5875,45.65524127076654,1009,3436,1430,46,102,441,414
2017,09 - Kücknitz,18668,45.31486317513524,3032,11381,4255,153,247,1059,1041
2017,10 - Travemünde,13456,56.71463196129852,1285,6115,6056,57,328,1002,783
2016,00 - Lübeck,220211,44.68789659020281,33572,136475,50164,2057,2809,14865,12079
2016,01 - Innenstadt,14047,40.48794136425844,1516,10481,2050,144,113,2506,2424
2016,02 - St. Jürgen,45706,43.35195536617653,7474,28551,9681,451,429,4923,4408
2016,03 - Moisling,10741,44.0372662412585,1900,6538,2303,122,146,1235,915
2016,04 - Buntekuh,11073,43.36526807069515,2167,6314,2592,143,160,1025,928
2016,05 - St. Lorenz Süd,15254,42.013296051226995,1981,10718,2555,176,126,2045,1883
2016,06 - St. Lorenz Nord,43462,43.00024115150513,7018,27880,8564,416,547,4461,3960
2016,07 - St. Gertrud,41724,46.642289561819844,6147,24955,10622,321,649,5384,5004
2016,08 - Schlutup,5914,45.32634372989925,1045,3427,1442,43,80,497,463
2016,09 - Kücknitz,18771,45.055923060909414,3057,11463,4251,178,277,1565,1167
2016,10 - Travemünde,13519,56.790073563601254,1267,6148,6104,63,282,1089,810
2015,00 - Lübeck,218523,44.67953264665893,33269,135346,49908,1915,2863,13929,10353
2015,01 - Innenstadt,13975,40.26692448378553,1467,10504,2004,123,134,2669,2409
2015,02 - St. Jürgen,45116,43.4194442953388,7355,28130,9631,428,433,4486,3952
2015,03 - Moisling,10436,44.65317421590881,1742,6390,2304,83,177,1170,880
2015,04 - Buntekuh,10993,43.64040211721881,2108,6251,2634,119,125,1078,974
2015,05 - St. Lorenz Süd,15026,41.98236441021007,1970,10545,2511,162,157,2132,1984
2015,06 - St. Lorenz Nord,43092,43.018829008614,6976,27596,8520,402,506,4479,3862
2015,07 - St. Gertrud,41987,46.35212868911818,6346,24994,10647,340,682,4035,3265
2015,08 - Schlutup,5915,45.06342612997452,1071,3444,1400,61,90,460,428
2015,09 - Kücknitz,18510,45.1946502512647,2964,11308,4238,150,267,1598,1091
2015,10 - Travemünde,13470,56.580971530694285,1269,6182,6019,47,292,1034,772
2014,00 - Lübeck,215800,44.82231402408909,32470,133657,49661,1906,2619,13111,10371
2014,01 - Innenstadt,13688,40.43377320800941,1416,10310,1962,133,135,2540,2396
2014,02 - St. Jürgen,44749,43.35324869890718,7272,27946,9531,445,416,4341,3884
2014,03 - Moisling,10255,45.287397393853986,1667,6226,2362,93,142,1015,937
2014,04 - Buntekuh,10894,43.718497363519866,2058,6227,2608,137,112,1095,909
2014,05 - St. Lorenz Süd,14897,41.960582596412756,1940,10462,2494,157,141,2190,2044
2014,06 - St. Lorenz Nord,42596,43.094724136245276,6784,27358,8450,420,489,4408,3978
2014,07 - St. Gertrud,41299,46.77686494856338,6063,24605,10629,323,584,3707,3139
2014,08 - Schlutup,5903,45.16822326237646,1066,3437,1400,41,88,564,410
2014,09 - Kücknitz,18087,45.48670642751574,2928,10913,4242,105,236,1534,1203
2014,10 - Travemünde,13432,56.32474524137819,1276,6173,5983,51,276,922,749
2013,00 - Lübeck,213922,44.80458260812599,32218,132569,49126,1821,2875,12332,10752
2013,01 - Innenstadt,13543,40.309286605120775,1402,10215,1926,104,124,2512,2355
2013,02 - St. Jürgen,44294,43.327523255260154,7227,27697,9370,445,439,4050,3773
2013,03 - Moisling,10225,45.33036728405399,1646,6218,2361,73,148,724,919
2013,04 - Buntekuh,10678,43.71782720763233,2034,6115,2528,113,153,1008,983
2013,05 - St. Lorenz Süd,14727,42.11427476335558,1916,10322,2487,135,162,2089,2032
2013,06 - St. Lorenz Nord,42240,43.061037551720936,6753,27084,8401,388,515,4376,3853
2013,07 - St. Gertrud,41050,46.7475618734477,6014,24466,10566,331,663,3521,3320
2013,08 - Schlutup,5812,45.42047299399447,1034,3384,1394,45,91,492,373
2013,09 - Kücknitz,17889,45.379657507445074,2894,10826,4169,140,271,1309,1204
2013,10 - Travemünde,13464,56.10670992764063,1298,6242,5924,46,309,1025,799
2012,00 - Lübeck,213369,44.7737271692335,32150,132124,49095,1773,2608,11657,9863
2012,01 - Innenstadt,13424,40.18465027694899,1409,10140,1875,131,135,2439,2375
2012,02 - St. Jürgen,43991,43.31000115388456,7163,27476,9352,378,421,4342,3467
2012,03 - Moisling,10487,44.89022684564787,1755,6324,2408,81,133,744,962
2012,04 - Buntekuh,10690,43.712730363787784,2012,6178,2500,113,125,1034,894
2012,05 - St. Lorenz Süd,14710,42.184948669256954,1952,10226,2532,130,175,2023,1979
2012,06 - St. Lorenz Nord,41838,43.13302703692924,6613,26809,8416,433,443,4021,3834
2012,07 - St. Gertrud,41139,46.740388847581585,5979,24568,10592,277,585,3610,3267
2012,08 - Schlutup,5734,45.27798458668145,1035,3324,1375,40,97,495,475
2012,09 - Kücknitz,17861,45.27427522871169,2915,10775,4171,141,203,1146,1092
2012,10 - Travemünde,13495,55.89645493872979,1317,6304,5874,48,291,896,685
2011,00 - Lübeck,212305,44.66067048682634,32298,131216,48791,1696,2691,11802,10358
2011,01 - Innenstadt,13373,40.15446090156655,1423,10105,1845,112,118,2464,2422
2011,02 - St. Jürgen,43024,43.37831668001768,7003,26787,9234,389,391,3957,3625
2011,03 - Moisling,10756,44.40313423598027,1894,6421,2441,85,134,740,858
2011,04 - Buntekuh,10570,43.68196135070075,2009,6094,2467,97,124,1061,942
2011,05 - St. Lorenz Süd,14738,42.03062876235604,2001,10182,2555,151,167,2157,2081
2011,06 - St. Lorenz Nord,41579,43.08436469199374,6537,26687,8355,364,497,4213,3830
2011,07 - St. Gertrud,41127,46.53173483174148,6052,24490,10585,289,662,3637,3368
2011,08 - Schlutup,5769,45.12488395096849,1048,3351,1370,40,95,507,478
2011,09 - Kücknitz,17854,45.03046065485473,2961,10734,4159,117,225,1174,1094
2011,10 - Travemünde,13515,55.50934052614644,1370,6365,5780,52,278,936,765
2010,00 - Lübeck,212115,44.49218137356997,32545,130979,48591,1842,2700,11412,9986
2010,01 - Innenstadt,13363,39.91592077490597,1462,10131,1770,117,138,2556,2561
2010,02 - St. Jürgen,42686,43.25309616768258,6874,26703,9109,406,381,4012,3401
2010,03 - Moisling,10938,43.90928796679666,1979,6497,2462,112,146,791,998
2010,04 - Buntekuh,10490,43.558776133826086,1996,6071,2423,111,156,1117,989
2010,05 - St. Lorenz Süd,14712,41.90088009415481,2011,10133,2568,167,146,2013,2004
2010,06 - St. Lorenz Nord,41363,43.00976632216139,6595,26418,8350,374,489,4064,3895
2010,07 - St. Gertrud,41323,46.391634828724854,6139,24520,10664,308,663,3449,3083
2010,08 - Schlutup,5796,45.02258052317612,1054,3370,1372,36,103,445,408
2010,09 - Kücknitz,17883,44.66885593496234,3041,10711,4131,154,239,1033,1061
2010,10 - Travemünde,13561,55.17921396268308,1394,6425,5742,55,238,1013,751
